Date Time,Open,High,Low,Close,Volume,Adj Close
2024-05-01 09:30:00,182.1999969482422,184.0500030517578,180.6199951171875,180.6300048828125,5889802,180.6300048828125
2024-05-01 09:35:00,180.63999938964844,183.5,180.4199981689453,181.97149658203125,2364112,181.97149658203125
2024-05-01 09:40:00,181.94000244140625,182.92999267578125,181.35000610351562,181.85000610351562,1731260,181.85000610351562
2024-05-01 09:45:00,181.84500122070312,182.5782928466797,181.4199981689453,182.32000732421875,1493800,182.32000732421875
2024-05-01 09:50:00,182.3061981201172,183.2967071533203,182.16000366210938,182.66000366210938,1640636,182.66000366210938
2024-05-01 09:55:00,182.72999572753906,183.85000610351562,182.39999389648438,182.78990173339844,1716596,182.78990173339844
2024-05-01 10:00:00,182.83999633789062,183.16990661621094,181.55999755859375,181.58929443359375,1470605,181.58929443359375
2024-05-01 10:05:00,181.6199951171875,181.94509887695312,180.9199981689453,181.16270446777344,1361945,181.16270446777344
2024-05-01 10:10:00,181.22779846191406,181.22779846191406,179.6300048828125,179.74000549316406,2221258,179.74000549316406
2024-05-01 10:15:00,179.91000366210938,180.6699981689453,179.8800048828125,180.4351043701172,1647692,180.4351043701172
2024-05-01 10:20:00,180.47999572753906,180.7899932861328,179.83489990234375,180.19349670410156,1341139,180.19349670410156
2024-05-01 10:25:00,180.16000366210938,180.9499969482422,179.72000122070312,180.44500732421875,1181315,180.44500732421875
2024-05-01 10:30:00,180.49989318847656,180.75999450683594,180.1199951171875,180.6699981689453,880276,180.6699981689453
2024-05-01 10:35:00,180.65499877929688,180.701904296875,179.41000366210938,179.9199981689453,1302912,179.9199981689453
2024-05-01 10:40:00,179.91000366210938,180.5,179.4499969482422,180.43919372558594,1096916,180.43919372558594
2024-05-01 10:45:00,180.41729736328125,182.04620361328125,180.41009521484375,181.63999938964844,1862464,181.63999938964844
2024-05-01 10:50:00,181.6699981689453,182.22000122070312,181.5,181.64990234375,1233639,181.64990234375
2024-05-01 10:55:00,181.61000061035156,181.7884063720703,180.7899932861328,180.85499572753906,1017389,180.85499572753906
2024-05-01 11:00:00,180.8800048828125,181.14999389648438,180.6300048828125,180.86410522460938,847159,180.86410522460938
2024-05-01 11:05:00,180.84500122070312,181.94000244140625,180.11000061035156,180.1699981689453,1371141,180.1699981689453
2024-05-01 11:10:00,180.21209716796875,180.3300018310547,179.80999755859375,179.83009338378906,1089805,179.83009338378906
2024-05-01 11:15:00,179.83999633789062,180.41000366210938,179.2100067138672,179.24099731445312,1182680,179.24099731445312
