timestamp,open,high,low,close,volume
2024-06-05 19:55:00,167.3500,167.4400,167.3000,167.3000,73
2024-06-05 19:50:00,167.3000,167.3000,167.3000,167.3000,1
2024-06-05 19:45:00,167.3010,167.3500,167.3010,167.3500,45
2024-06-05 19:40:00,167.3000,167.3010,167.3000,167.3000,82
2024-06-05 19:35:00,167.3010,167.3800,167.3000,167.3000,9
2024-06-05 19:25:00,167.3800,167.3800,167.3800,167.3800,5
2024-06-05 19:20:00,167.3300,167.3800,167.3300,167.3800,20
2024-06-05 19:15:00,167.6000,167.6000,167.3700,167.3800,21
2024-06-05 19:10:00,167.3600,167.4000,167.3600,167.4000,37
2024-06-05 19:05:00,167.3000,167.3000,167.3000,167.3000,4
2024-06-05 19:00:00,167.3800,167.3800,167.2900,167.3000,632130
2024-06-05 18:55:00,167.2900,167.3000,167.2900,167.3000,19
2024-06-05 18:50:00,167.2200,167.2200,167.2200,167.2200,1
2024-06-05 18:45:00,167.2900,167.3000,167.2500,167.2500,15
2024-06-05 18:40:00,167.2700,167.2700,167.2500,167.2500,7
2024-06-05 18:35:00,167.3000,167.3000,167.2900,167.2900,2
2024-06-05 18:30:00,167.3800,167.3800,167.2500,167.2500,632029
2024-06-05 18:25:00,167.3680,167.3800,167.2900,167.3000,205
2024-06-05 18:20:00,167.3800,167.3800,167.3800,167.3800,67
2024-06-05 18:15:00,167.3400,167.3400,167.2500,167.2500,21
2024-06-05 18:10:00,167.2800,167.2800,167.2800,167.2800,12
2024-06-05 18:00:00,167.3400,167.3800,167.3400,167.3800,5
2024-06-05 17:55:00,167.3500,167.3500,167.2200,167.2200,66
2024-06-05 17:50:00,167.3540,167.3540,167.3540,167.3540,15
2024-06-05 17:40:00,167.2300,167.3800,167.2300,167.3800,2
2024-06-05 17:35:00,167.2300,167.2300,167.2100,167.2300,52
2024-06-05 17:30:00,167.3500,167.3500,167.2300,167.2300,7
2024-06-05 17:25:00,167.3800,167.3800,167.3800,167.3800,14
2024-06-05 17:20:00,167.3750,167.3760,167.2020,167.2050,4
2024-06-05 17:15:00,167.3300,167.3300,167.2000,167.2000,26
2024-06-05 17:10:00,167.3700,167.3700,167.3700,167.3700,5
2024-06-05 17:05:00,167.2500,167.2500,167.2500,167.2500,8
